InstalledOn,Description,HotFixID,InstalledBy,PSComputerName,RunspaceId,PSShowComputerName
4/7/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
3/3/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
3/3/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-603544,b53f7610-391c-4656-b6fc-87ddb6b0990d,TRUE
3/19/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-113726,2004e7fb-a103-4fc4-bca1-feff5a049749,TRUE
3/17/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-603645,14e42e84-16b1-4044-9612-f4d96b4dbd44,TRUE
3/19/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-113728,79c003c0-f7f0-4d8f-9a73-fbec8f961f2e,TRUE
3/20/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-113498,9941521d-5e0e-40a3-bb2f-09a6fb3e98d0,TRUE
3/19/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
3/5/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
3/19/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-603639,264e8352-f874-4c51-943a-70ad2d99dc87,TRUE
3/20/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
3/4/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
3/4/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-603669,bbc0f9f2-39fe-44a3-bcf7-b2ba1fd6d830,TRUE
3/19/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-603679,71136d0b-c31c-4dc9-b709-4835dbd7ac1c,TRUE
3/22/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
3/18/2021 0:00,Security Update,KB5000802,NT AUTHORITY\SYSTEM,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
3/18/2021 0:00,Security Update,KB5000858,NT AUTHORITY\SYSTEM,LT-603601,bbab90ee-684a-40f5-96dc-d7a768b4b06d,TRUE
