InstalledOn,Description,HotFixID,InstalledBy,PSComputerName,RunspaceId,PSShowComputerName
3/17/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
3/5/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
3/5/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-113500,29c3ef12-ff62-4b9b-a174-e428ca1150f1,TRUE
3/19/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-603545,03fab28c-0d94-4642-835e-dafa50f04366,TRUE
3/19/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
11/19/2020 0:00,Update,KB4562830,,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
11/18/2020 0:00,Security Update,KB4570334,,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
11/19/2020 0:00,Security Update,KB4580325,,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
11/19/2020 0:00,Security Update,KB4586864,,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
3/8/2021 0:00,Security Update,KB4598481,NT AUTHORITY\SYSTEM,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
3/8/2021 0:00,Security Update,KB4601319,NT AUTHORITY\SYSTEM,LT-113706,49aa6b32-2a88-4966-81ce-260c8e1d06a4,TRUE
3/22/2021 0:00,Update,KB4601050,NT AUTHORITY\SYSTEM,LT-113730,38760355-e19b-4c2e-bca6-0a6ea86630ef,TRUE
